Variable,Pregunta,Respuestas,ValorInterno,Valor,Open?
ID,,,,,
ACCESO,"¿Desde cuándo es Vd. usuario de Internet? (cualquier uso: WWW, E-mail, FTP, chat, etc.)",,-,NS/NC,
ACCESO,"¿Desde cuándo es Vd. usuario de Internet? (cualquier uso: WWW, E-mail, FTP, chat, etc.)",,0,NS/NC,
ACCESO,"¿Desde cuándo es Vd. usuario de Internet? (cualquier uso: WWW, E-mail, FTP, chat, etc.)",,1,Menos de 1 año,
ACCESO,"¿Desde cuándo es Vd. usuario de Internet? (cualquier uso: WWW, E-mail, FTP, chat, etc.)",,2,Entre 1 y 3 años,
ACCESO,"¿Desde cuándo es Vd. usuario de Internet? (cualquier uso: WWW, E-mail, FTP, chat, etc.)",,3,Entre 3 y 5 años,
ACCESO,"¿Desde cuándo es Vd. usuario de Internet? (cualquier uso: WWW, E-mail, FTP, chat, etc.)",,4,Entre 5 y 10 años,
ACCESO,"¿Desde cuándo es Vd. usuario de Internet? (cualquier uso: WWW, E-mail, FTP, chat, etc.)",,5,Más de 10 años,
FREQ,¿Con qué frecuencia suele Vd. acceder a Internet?,,-,NS/NC,
FREQ,¿Con qué frecuencia suele Vd. acceder a Internet?,,0,NS/NC,
FREQ,¿Con qué frecuencia suele Vd. acceder a Internet?,,1,Varias veces al día,
FREQ,¿Con qué frecuencia suele Vd. acceder a Internet?,,2,Todos o casi todos los días,
FREQ,¿Con qué frecuencia suele Vd. acceder a Internet?,,3,Varias veces a la semana,
FREQ,¿Con qué frecuencia suele Vd. acceder a Internet?,,4,Varias veces al mes,
FREQ,¿Con qué frecuencia suele Vd. acceder a Internet?,,5,Con menor frecuencia,
DONDE,"Sin contar el día de hoy, ¿cuándo ha accedido por última vez a Internet?",,-,NS/NC,
DONDE,"Sin contar el día de hoy, ¿cuándo ha accedido por última vez a Internet?",,0,NS/NC,
DONDE,"Sin contar el día de hoy, ¿cuándo ha accedido por última vez a Internet?",,1,Ayer,
DONDE,"Sin contar el día de hoy, ¿cuándo ha accedido por última vez a Internet?",,2,Últimos 7 días,
DONDE,"Sin contar el día de hoy, ¿cuándo ha accedido por última vez a Internet?",,3,Último mes,
DONDE,"Sin contar el día de hoy, ¿cuándo ha accedido por última vez a Internet?",,4,Último año,
DONDE,"Sin contar el día de hoy, ¿cuándo ha accedido por última vez a Internet?",,5,Más tiempo,
DONDE,"Sin contar el día de hoy, ¿cuándo ha accedido por última vez a Internet?",,6,Nunca,
DONDE_1,"Sin contar el día de hoy, ¿Cuándo ha accedido por última vez a Internet desde casa?",DONDE,,,
DONDE_2,"Sin contar el día de hoy, ¿Cuándo ha accedido por última vez a Internet desde trabajo?",DONDE,,,
DONDE_3,"Sin contar el día de hoy, ¿Cuándo ha accedido por última vez a Internet desde universidad/centro de estudios?",DONDE,,,
DONDE_4,"Sin contar el día de hoy, ¿Cuándo ha accedido por última vez a Internet desde casa de familiares o amigos?",DONDE,,,
DONDE_5,"Sin contar el día de hoy, ¿Cuándo ha accedido por última vez a Internet desde local público (cybercafé, biblioteca, restaurante, cafetería,...)?",DONDE,,,
DONDE_6,"Sin contar el día de hoy, ¿Cuándo ha accedido por última vez a Internet desde la calle o algún medio de transporte?",DONDE,,,
DONDE_9,"Sin contar el día de hoy, ¿Cuándo ha accedido por última vez a Internet desde otro sitio?",DONDE,,,
EQUIPO1,¿A través de qué equipo/equipos accede Vd. a Internet?,,1,Ordenador fijo o de sobremesa,
EQUIPO2,¿A través de qué equipo/equipos accede Vd. a Internet?,,1,Ordenador portátil/Netbook,
EQUIPO3,¿A través de qué equipo/equipos accede Vd. a Internet?,,1,Tablet,
EQUIPO4,¿A través de qué equipo/equipos accede Vd. a Internet?,,1,Televisor,
EQUIPO5,¿A través de qué equipo/equipos accede Vd. a Internet?,,1,Teléfono móvil,
EQUIPO6,¿A través de qué equipo/equipos accede Vd. a Internet?,,1,Videoconsola de sobremesa,
EQUIPO7,¿A través de qué equipo/equipos accede Vd. a Internet?,,1,Videoconsola portátil,
EQUIPO8,¿A través de qué equipo/equipos accede Vd. a Internet?,,1,Reloj inteligente / Smartwatch,
EQUIPO9,¿A través de qué equipo/equipos accede Vd. a Internet?,,1,Otro equipo,
EQUIPONS,¿A través de qué equipo/equipos accede Vd. a Internet?,,1,NS/NC,
CONEXTV1,¿Cómo se conecta a Internet desde el televisor?,,1,Directamente (tv con conexión propia),
CONEXTV2,¿Cómo se conecta a Internet desde el televisor?,,1,"Tv conectado a receptor digital multimedia (Apple TV, Google Chromecast,…)",
CONEXTV3,¿Cómo se conecta a Internet desde el televisor?,,1,Conectando otro aparato al televisor,
CONEXTVNS,¿Cómo se conecta a Internet desde el televisor?,,1,NS/NC,
EQUIPOB,"En concreto, ¿a través de que equipo accede principalmente a Internet? ",,-,NS/NC,
EQUIPOB,"En concreto, ¿a través de que equipo accede principalmente a Internet? ",,0,NS/NC,
EQUIPOB,"En concreto, ¿a través de que equipo accede principalmente a Internet? ",,1,Ordenador fijo o de sobremesa,
EQUIPOB,"En concreto, ¿a través de que equipo accede principalmente a Internet? ",,2,Ordenador portátil/Netbook,
EQUIPOB,"En concreto, ¿a través de que equipo accede principalmente a Internet? ",,3,Tablet,
EQUIPOB,"En concreto, ¿a través de que equipo accede principalmente a Internet? ",,4,Televisor,
EQUIPOB,"En concreto, ¿a través de que equipo accede principalmente a Internet? ",,5,Teléfono móvil,
EQUIPOB,"En concreto, ¿a través de que equipo accede principalmente a Internet? ",,6,Videoconsola de sobremesa,
EQUIPOB,"En concreto, ¿a través de que equipo accede principalmente a Internet? ",,7,Videoconsola portátil,
EQUIPOB,"En concreto, ¿a través de que equipo accede principalmente a Internet? ",,8,Reloj inteligente / Smartwatch,
EQUIPOB,"En concreto, ¿a través de que equipo accede principalmente a Internet? ",,9,Otro equipo,
